ID;set;A_cost;A_payback;A_selfconsumption;A_backup;B_cost;B_payback;B_selfconsumption;B_backup;optout;Choice
33;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
33;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
33;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
33;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
33;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
33;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
33;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
33;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
34;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
34;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
34;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
34;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
34;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
34;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
34;7;1000;10;60;One socket;5000;15;30;Full house;No battery;1
34;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
35;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
35;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
35;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
35;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
35;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
35;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
35;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
35;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
36;1;1000;10;60;Full house;5000;5;90;Full house;No battery;2
36;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
36;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
36;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
36;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
36;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
36;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
